0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:54 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:54 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:56 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:11:58 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:09 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:12 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:12:12 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:06 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:06 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:06 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:06 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:06 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
