0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:25 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:26 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/1/3 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:26 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:28 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=2 HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:28 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/2/-1 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:28 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:31 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=3 HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:33 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/3/4 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:33 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:36 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:38 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 761
