0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:17 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:18 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=3 HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:29 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:29 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 1314
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:30 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=4 HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:35 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:35 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:36 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=5 HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:41 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/realizaOrcamento HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:41 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:43 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:45 -0300] "GET /PI-AssistenciaTecnica/pages/manutencao/funcoes/consulta_ordemServico/ HTTP/1.1" 200 1326
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:45 -0300] "GET /PI-AssistenciaTecnica/js/manutencao_consultaOS.js HTTP/1.1" 200 6630
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:45 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:47 -0300] "GET /PI-AssistenciaTecnica/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:47 -0300] "GET /PI-AssistenciaTecnica/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:47 -0300] "GET /PI-AssistenciaTecnica/imgs/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:47 -0300] "GET /PI-AssistenciaTecnica/js/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:50 -0300] "POST /PI-AssistenciaTecnica/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:50 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:50 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:50 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:50 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:50 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:50 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:50 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:53 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_orcamento/ HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:53 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_aprovarOrcamento.js HTTP/1.1" 200 9012
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:53 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:56 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=5 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:56 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:56 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:56 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:56 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:56 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:56 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:56 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:57 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:57 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/5/4 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:57 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:58 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=4 HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:59 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/4/4 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:04:59 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:06 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:11 -0300] "POST /PI-AssistenciaTecnica/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:11 -0300] "GET /PI-AssistenciaTecnica/pages/adm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:11 -0300] "GET /PI-AssistenciaTecnica/pages/adm/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:11 -0300] "GET /PI-AssistenciaTecnica/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:11 -0300] "GET /PI-AssistenciaTecnica/pages/adm/geral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:12 -0300] "GET /PI-AssistenciaTecnica/pages/adm/funcao/relatorio_adm/ HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:12 -0300] "GET /css/admin.css HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:12 -0300] "GET /PI-AssistenciaTecnica/js/admin_relatorio.js HTTP/1.1" 200 7117
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:12 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentosRelatorio HTTP/1.1" 200 1348
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:14 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscaRelatorioDetalhado?idorcamento=1 HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:16 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscaRelatorioDetalhado?idorcamento=2 HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:18 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscaRelatorioDetalhado?idorcamento=3 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:20 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscaRelatorioDetalhado?idorcamento=4 HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:21 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscaRelatorioDetalhado?idorcamento=5 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:05:26 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscaRelatorioDetalhado?idorcamento=5 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:06:14 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscaRelatorioDetalhado?idorcamento=5 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [07/Mar/2022:18:21:14 -0300] "GET /PI-AssistenciaTecnica/pages/adm/ HTTP/1.1" 304 -
