0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:57:07 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_aprovarOrcamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:57:07 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:57:15 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_consultaOS.js HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:57:15 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:57:34 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:57:34 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:57:34 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:57:34 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:57:34 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:57:37 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:57:39 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_consultaOS.js HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:57:39 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:58:59 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:58:59 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 2236
